date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:35	230/230	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:28%20GMT	http://www.phon.ox.ac.uk/~jcoleman/t_t_azin.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/t_t_azin.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:35	11492/11492	---M--	200	added ('OK')	audio/x-wav	etag:%22122cd7-2ce4-37b790e66a840%22	http://www.phon.ox.ac.uk/jcoleman/ttsxxan.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/ttsxxan.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:36	224/224	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:28%20GMT	http://www.phon.ox.ac.uk/~jcoleman/ss.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/ss.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:36	12296/12296	---M--	200	added ('OK')	audio/x-wav	etag:%22122cd4-3008-37b790cd9edc0%22	http://www.phon.ox.ac.uk/jcoleman/ttbddal.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/ttbddal.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:36	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:29%20GMT	http://www.phon.ox.ac.uk/~jcoleman/t_t_af.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/t_t_af.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:37	10066/10066	---M--	200	added ('OK')	audio/x-wav	etag:%22122ca6-2752-37b7909095dc0%22	http://www.phon.ox.ac.uk/jcoleman/t_t_azin.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/t_t_azin.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:37	6556/6556	---M--	200	added ('OK')	audio/x-wav	etag:%22122c95-199c-37b79077ca340%22	http://www.phon.ox.ac.uk/jcoleman/ss.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/ss.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:37	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:30%20GMT	http://www.phon.ox.ac.uk/~jcoleman/t_t_as.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/t_t_as.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:38	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:30%20GMT	http://www.phon.ox.ac.uk/~jcoleman/ttggwa.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/ttggwa.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:38	9560/9560	---M--	200	added ('OK')	audio/x-wav	etag:%22122ca4-2558-37b79081539c0%22	http://www.phon.ox.ac.uk/jcoleman/t_t_af.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/t_t_af.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
